employee_id,department,site,remote,tenure_years,workload,autonomy,training,mentoring,wellbeing,engagement_t1,engagement_t2,performance,left_company
57,Sales,Almelo,No,8.9,6.52,5.27,Yes,No,47.0,57.1,64.8,57.8,0
58,Sales,Almelo,No,4.3,6.94,5.56,No,Yes,47.1,56.4,58.9,60.8,0
59,Sales,Zwolle,No,0.6,5.98,5.05,Yes,Yes,49.7,59.4,64.3,67.4,1
60,Sales,Enschede,Yes,0.5,6.39,5.13,No,Yes,44.8,55.1,52.3,59.9,0
61,Sales,Deventer,Yes,4.0,4.56,6.01,No,No,56.4,53.5,54.2,61.9,0
62,Sales,Zwolle,No,20.0,5.23,5.08,Yes,No,58.5,60.5,63.6,56.2,0
63,Sales,Enschede,Yes,5.1,9.26,6.02,Yes,Yes,41.8,68.7,73.3,59.3,1
64,Sales,Apeldoorn,No,2.5,7.06,7.47,Yes,No,39.6,69.8,66.7,71.1,0
65,Sales,Zwolle,Yes,2.0,4.26,6.48,No,Yes,63.0,60.0,62.1,54.3,0
66,Sales,Enschede,Yes,12.2,8.94,6.31,No,Yes,49.7,57.8,65.2,64.0,0
67,Sales,Deventer,Yes,2.2,6.02,4.43,No,Yes,46.9,56.6,60.7,58.1,0
68,Sales,Almelo,No,0.3,6.83,5.43,Yes,Yes,43.3,64.3,70.2,63.2,1
69,Sales,Enschede,No,5.9,7.18,4.91,No,No,44.8,64.4,59.5,64.0,0
70,Sales,Almelo,Yes,13.7,7.15,6.32,No,Yes,53.1,57.5,60.8,65.0,0
71,Sales,Apeldoorn,No,2.5,6.59,3.50,Yes,Yes,32.4,53.3,56.8,53.9,0
72,Sales,Enschede,No,7.8,6.95,2.66,No,Yes,38.4,55.7,58.2,50.8,1
73,Sales,Apeldoorn,Yes,5.9,5.48,4.63,Yes,Yes,45.2,67.7,80.6,60.6,1
74,Sales,Zwolle,No,4.6,6.82,6.25,Yes,No,44.4,52.6,52.5,49.2,0
75,Sales,Enschede,Yes,8.0,4.09,4.18,No,Yes,54.4,47.6,47.5,61.9,0
76,Sales,Apeldoorn,Yes,14.9,7.49,7.51,Yes,No,52.0,60.2,61.7,66.0,0
77,Sales,Hengelo,No,2.5,5.85,2.35,Yes,No,47.5,65.3,64.5,53.4,0
78,Sales,Hengelo,No,7.8,5.33,4.21,Yes,No,39.5,54.8,57.0,44.4,0
79,Sales,Deventer,No,0.6,3.53,6.29,Yes,No,59.8,61.1,58.7,53.5,0
80,Sales,Enschede,No,2.6,6.52,7.05,No,Yes,40.9,62.9,59.9,47.0,0
81,Sales,Apeldoorn,No,0.5,7.15,4.75,No,Yes,44.4,47.8,45.8,41.6,0
82,Sales,Deventer,Yes,1.6,9.68,6.32,No,No,42.5,52.4,52.9,57.2,0
83,Sales,Zwolle,No,19.9,7.92,4.31,No,No,34.4,48.0,47.0,56.7,0
84,Sales,Apeldoorn,Yes,0.2,5.78,6.33,No,Yes,57.8,48.8,48.6,50.3,0
85,Sales,Hengelo,No,2.1,4.91,5.74,Yes,Yes,52.0,64.1,64.5,68.8,1
86,Sales,Zwolle,Yes,0.7,7.33,3.96,Yes,No,37.2,51.0,56.4,57.0,0
87,Sales,Zwolle,No,0.3,6.06,6.37,No,Yes,50.4,54.9,60.6,67.3,1
88,Sales,Zwolle,No,6.9,4.81,3.99,No,Yes,54.8,50.7,50.4,55.8,0
89,Sales,Apeldoorn,Yes,6.7,5.70,6.59,Yes,Yes,54.5,50.0,53.6,48.3,0
90,Sales,Hengelo,No,32.0,6.43,6.64,Yes,Yes,61.3,65.2,74.0,67.7,0
91,Sales,Zwolle,Yes,3.4,5.27,3.31,No,Yes,50.6,53.3,53.1,55.4,0
92,Sales,Zwolle,No,1.1,7.06,6.55,Yes,Yes,41.6,61.4,63.0,65.0,0
93,Sales,Enschede,No,2.8,4.47,5.35,No,Yes,48.0,50.2,49.8,55.8,0
94,Sales,Hengelo,No,10.8,7.54,4.22,No,No,41.0,68.9,73.2,73.4,0
95,Sales,Deventer,No,2.3,6.81,6.04,Yes,No,40.7,58.6,54.6,59.4,0
96,Sales,Almelo,No,9.2,4.15,6.36,Yes,No,54.3,52.3,52.0,57.0,0
97,Sales,Zwolle,No,14.6,5.36,5.17,Yes,No,53.3,55.4,57.8,47.8,0
98,Sales,Enschede,Yes,1.7,9.97,5.80,No,Yes,31.2,58.2,60.0,56.5,0
99,Sales,Almelo,No,1.6,7.90,5.46,No,Yes,40.1,54.6,50.5,56.2,0
100,Sales,Hengelo,No,2.4,7.53,4.42,No,Yes,41.7,60.3,57.6,62.2,1
101,Sales,Almelo,No,12.8,7.01,5.65,Yes,No,42.3,59.3,57.1,60.2,0
102,Sales,Apeldoorn,No,0.6,8.13,7.51,Yes,Yes,48.2,57.0,66.2,59.3,0
103,Sales,Enschede,Yes,1.6,6.69,6.30,No,Yes,54.0,55.0,54.7,59.6,0
104,Sales,Enschede,Yes,11.1,5.87,3.95,Yes,No,45.7,45.0,50.1,45.4,0
105,Sales,Deventer,No,0.5,7.56,5.17,No,No,43.2,53.9,56.5,72.6,0
106,Sales,Apeldoorn,No,20.2,6.34,4.88,Yes,Yes,52.0,60.6,70.2,55.9,0
107,Sales,Hengelo,Yes,32.0,4.50,4.10,No,Yes,55.8,55.7,50.1,55.3,0
108,Sales,Zwolle,Yes,1.0,4.87,5.53,No,No,53.1,65.1,64.4,33.6,0
109,Sales,Deventer,Yes,9.9,10.00,3.80,No,Yes,32.0,48.0,39.3,44.2,0
110,Sales,Almelo,No,8.1,3.41,6.77,Yes,No,62.0,61.5,65.7,66.8,0
111,Sales,Enschede,Yes,12.2,8.18,4.79,Yes,No,47.4,68.8,71.8,58.0,0
112,Sales,Enschede,Yes,10.2,5.03,5.99,Yes,Yes,51.9,54.1,63.1,58.7,0
113,Sales,Apeldoorn,Yes,6.0,6.29,5.72,No,Yes,43.7,55.2,51.7,61.6,0
114,Sales,Zwolle,Yes,0.9,6.86,6.70,No,No,54.1,75.5,72.0,70.3,0
115,Sales,Enschede,No,6.9,7.89,4.91,Yes,Yes,43.2,52.8,58.5,45.5,0
116,Sales,Apeldoorn,No,0.9,8.85,5.84,No,No,28.9,55.3,51.1,55.2,1
117,Sales,Hengelo,No,0.9,6.76,3.10,Yes,No,30.8,57.8,62.6,35.9,0
118,Sales,Apeldoorn,No,0.9,4.71,8.97,Yes,Yes,52.2,54.8,61.4,66.4,0
119,Sales,Almelo,Yes,0.2,4.92,5.21,No,No,48.1,50.4,56.0,59.1,0
120,Sales,Enschede,Yes,7.5,5.24,5.77,No,No,58.2,66.4,72.0,71.8,0
121,Sales,Hengelo,No,5.4,5.46,5.99,Yes,Yes,45.7,57.9,57.3,68.7,0
122,Sales,Deventer,Yes,3.3,4.42,3.32,Yes,Yes,54.4,60.8,66.0,59.0,0
123,Sales,Zwolle,Yes,9.9,5.88,7.03,No,No,55.1,60.2,61.9,70.5,0
124,Sales,Enschede,No,1.6,3.47,3.43,No,Yes,48.7,66.4,72.6,62.2,1
125,Sales,Deventer,No,6.3,5.17,5.08,Yes,Yes,46.1,62.6,69.0,54.3,0
126,Sales,Almelo,No,2.6,9.24,2.12,Yes,No,27.4,48.6,42.3,44.1,0
127,Sales,Hengelo,No,7.1,5.78,4.91,No,No,48.2,55.0,55.4,67.1,0
128,Sales,Hengelo,No,1.2,6.98,5.56,Yes,No,50.2,58.7,59.8,61.3,0
129,Sales,Apeldoorn,Yes,9.4,5.83,6.33,No,No,50.3,58.2,56.9,71.1,0
130,Sales,Almelo,Yes,4.0,5.18,3.26,No,Yes,46.2,52.1,50.1,64.4,0
131,Sales,Zwolle,Yes,8.0,6.07,4.65,Yes,Yes,45.1,50.3,53.6,47.4,0
132,Sales,Zwolle,No,2.3,5.38,3.68,No,Yes,46.0,57.8,55.6,49.0,0
133,Engineering,Zwolle,No,12.9,7.27,7.32,Yes,Yes,43.9,43.4,48.5,56.5,0
134,Engineering,Almelo,No,4.8,6.34,10.00,No,No,59.4,62.4,62.3,75.0,0
135,Engineering,Enschede,Yes,0.3,6.80,10.00,No,Yes,57.6,56.6,55.7,62.4,1
136,Engineering,Almelo,No,4.0,7.87,10.00,Yes,No,58.0,55.5,57.1,71.4,1
137,Engineering,Apeldoorn,No,0.3,7.70,8.02,No,Yes,13.9,43.7,42.5,50.0,0
138,Engineering,Zwolle,No,2.9,6.75,7.28,Yes,Yes,46.1,52.1,60.6,57.7,0
139,Engineering,Enschede,No,1.8,7.70,9.52,Yes,Yes,22.8,56.3,57.3,67.9,1
140,Engineering,Hengelo,Yes,2.3,8.57,8.80,Yes,No,56.6,65.0,64.8,61.5,0
141,Engineering,Enschede,Yes,0.4,7.61,8.32,Yes,Yes,49.0,50.1,50.8,65.1,0
142,Engineering,Enschede,No,8.8,7.82,8.82,No,Yes,54.5,61.3,65.9,65.9,0
143,Engineering,Deventer,Yes,4.6,5.85,10.00,Yes,Yes,62.6,50.1,53.4,69.1,0
144,Engineering,Zwolle,No,6.7,7.88,8.50,No,No,56.4,62.2,58.7,59.0,0
145,Engineering,Enschede,Yes,1.6,8.78,8.07,No,Yes,6.2,34.2,35.9,48.2,1
146,Engineering,Almelo,Yes,8.3,7.89,9.19,No,Yes,56.1,62.6,67.4,55.5,0
147,Engineering,Apeldoorn,Yes,2.3,7.37,8.51,No,No,56.4,66.6,63.6,53.0,0
148,Engineering,Deventer,No,24.7,7.39,10.00,Yes,No,14.1,45.2,50.0,58.6,0
149,Engineering,Enschede,No,2.0,6.13,9.80,No,No,56.9,55.8,55.2,70.9,0
150,Engineering,Zwolle,Yes,9.7,7.84,9.33,Yes,No,46.8,58.7,60.4,72.7,0
151,Engineering,Enschede,Yes,8.0,9.85,10.00,No,Yes,10.8,46.5,45.1,51.8,0
152,Engineering,Deventer,No,0.3,9.13,9.48,Yes,No,40.4,60.3,62.6,70.7,1
153,Engineering,Apeldoorn,No,3.3,8.06,9.18,No,No,39.4,56.7,56.8,65.2,1
154,Engineering,Zwolle,No,2.1,8.02,7.76,Yes,Yes,44.8,48.6,51.8,58.2,1
155,Engineering,Zwolle,Yes,7.4,6.33,7.66,Yes,Yes,55.4,64.5,66.9,76.1,0
156,Engineering,Apeldoorn,Yes,15.2,5.61,10.00,Yes,Yes,46.1,50.9,57.2,55.4,0
157,Engineering,Apeldoorn,Yes,10.1,7.02,10.00,Yes,Yes,65.8,62.0,72.9,63.7,1
158,Engineering,Deventer,Yes,2.2,4.08,9.87,No,Yes,42.6,49.0,45.3,69.5,0
159,Engineering,Almelo,No,4.9,7.38,7.78,Yes,No,47.5,54.3,56.3,63.0,0
160,Engineering,Deventer,No,5.7,8.16,8.80,No,Yes,45.2,54.4,56.8,61.7,1
161,Engineering,Apeldoorn,No,3.7,10.00,9.33,No,No,49.8,52.6,52.5,53.1,0
162,Engineering,Hengelo,No,0.2,8.15,9.17,Yes,Yes,48.8,68.1,72.1,72.1,1
163,Engineering,Apeldoorn,No,12.9,7.09,9.32,Yes,No,13.5,50.7,53.1,53.1,0
164,Engineering,Deventer,Yes,9.0,7.28,7.41,No,Yes,55.7,54.6,53.3,51.9,0
165,Engineering,Almelo,No,7.7,5.39,9.33,No,Yes,67.5,52.7,56.6,64.5,0
166,Engineering,Enschede,No,5.8,7.62,7.64,Yes,Yes,44.6,52.5,50.2,63.4,0
167,Engineering,Apeldoorn,No,22.8,7.77,8.54,Yes,No,28.6,59.0,62.1,66.3,0
168,Engineering,Zwolle,No,7.7,8.65,7.20,Yes,No,40.7,59.5,65.3,59.2,1
169,Engineering,Hengelo,No,16.4,7.53,9.23,Yes,No,54.8,58.6,62.5,67.3,0
170,Engineering,Deventer,No,7.4,7.84,9.43,Yes,Yes,59.2,58.8,67.8,71.2,0
171,Engineering,Almelo,Yes,4.6,7.29,9.71,No,Yes,35.2,46.7,47.9,58.4,1
172,Engineering,Zwolle,No,7.1,7.25,8.84,No,No,29.4,44.9,42.6,53.8,0
173,Engineering,Enschede,No,2.1,6.37,7.80,Yes,Yes,44.6,59.2,63.9,49.9,0
174,Engineering,Almelo,No,4.9,8.53,8.89,No,Yes,24.8,48.6,49.1,61.4,1
175,Engineering,Deventer,No,4.3,7.37,9.28,Yes,Yes,53.4,64.4,68.2,62.8,0
176,Engineering,Enschede,No,6.0,6.98,8.77,No,No,57.7,61.3,66.3,74.7,0
177,Engineering,Enschede,Yes,7.0,7.86,10.00,Yes,Yes,54.8,60.8,71.2,62.3,0
178,Engineering,Apeldoorn,No,1.5,7.53,7.68,Yes,No,48.5,45.4,48.1,57.1,0
179,Engineering,Almelo,Yes,3.9,7.63,8.74,No,No,56.5,58.6,54.5,71.7,0
180,Engineering,Zwolle,No,32.0,7.33,9.52,No,No,62.5,65.3,66.6,71.8,0
181,Engineering,Enschede,No,3.4,4.77,8.64,Yes,Yes,59.4,61.5,66.3,75.1,0
182,Engineering,Apeldoorn,No,19.6,5.37,9.95,Yes,No,63.4,57.9,56.6,76.3,0
183,Engineering,Zwolle,Yes,23.7,7.01,9.11,Yes,No,64.0,59.2,63.8,67.3,0
184,Engineering,Apeldoorn,No,1.7,7.23,10.00,Yes,Yes,46.2,61.8,67.4,65.0,0
185,Engineering,Hengelo,No,0.8,8.94,9.57,No,Yes,44.8,54.5,56.1,52.5,0
186,Engineering,Almelo,No,3.6,8.67,6.71,No,Yes,38.2,55.0,57.9,68.4,1
187,Engineering,Zwolle,No,6.0,7.77,8.93,Yes,Yes,48.0,60.3,59.1,66.9,0
188,Engineering,Zwolle,No,0.2,6.92,10.00,Yes,Yes,50.0,54.0,57.4,58.4,0
189,Engineering,Deventer,No,1.0,8.50,10.00,No,No,49.5,54.1,54.4,60.1,0
190,Engineering,Enschede,Yes,0.3,6.31,7.77,No,Yes,6.4,53.3,52.7,59.1,0
191,Engineering,Enschede,Yes,0.7,5.73,9.03,No,Yes,44.0,58.4,58.0,76.3,0
192,Engineering,Apeldoorn,No,6.6,8.58,9.60,Yes,No,51.5,55.4,58.7,63.9,0
193,Engineering,Apeldoorn,No,4.4,7.48,8.34,Yes,Yes,44.7,53.0,60.9,63.8,1
194,Engineering,Enschede,Yes,1.3,3.77,9.56,Yes,Yes,62.8,51.0,54.5,73.1,0
195,Engineering,Deventer,No,23.9,6.84,9.23,Yes,No,49.5,52.3,55.0,56.5,0
196,Engineering,Almelo,No,9.5,6.89,8.86,Yes,Yes,53.2,43.1,49.7,56.2,0
197,Engineering,Almelo,Yes,1.6,5.82,9.84,Yes,Yes,67.4,60.3,67.8,69.5,0
198,Engineering,Hengelo,Yes,0.8,7.89,8.72,No,No,51.1,66.6,67.8,50.8,1
199,Engineering,Enschede,No,3.4,7.15,7.07,Yes,No,48.0,48.0,46.8,52.7,0
200,Engineering,Enschede,Yes,5.4,9.60,10.00,Yes,Yes,52.4,59.5,63.6,76.4,0
201,Engineering,Apeldoorn,No,1.2,7.80,8.39,Yes,No,54.5,48.2,45.9,54.1,1
202,Engineering,Almelo,No,3.7,7.49,6.84,Yes,Yes,44.9,52.0,63.8,63.6,0
203,Engineering,Deventer,Yes,1.3,5.69,8.80,No,Yes,23.3,50.6,50.5,50.6,1
204,Engineering,Apeldoorn,No,1.2,6.46,9.70,No,No,59.4,53.4,50.9,60.6,0
205,Engineering,Almelo,Yes,11.3,7.60,10.00,No,No,56.0,57.0,54.1,56.4,0
206,Engineering,Apeldoorn,No,10.3,8.24,8.73,No,No,49.8,59.4,60.8,72.7,1
207,Engineering,Apeldoorn,Yes,0.6,8.66,7.90,Yes,Yes,47.8,48.0,49.9,58.7,0
208,Engineering,Zwolle,Yes,5.0,6.96,9.15,Yes,No,55.1,61.5,58.6,65.8,0
209,Engineering,Hengelo,Yes,14.6,7.78,10.00,Yes,Yes,63.6,59.7,57.7,72.9,0
210,Engineering,Zwolle,No,1.2,7.25,10.00,No,Yes,49.1,53.7,51.2,66.3,0
211,Engineering,Hengelo,No,1.4,6.01,6.86,No,No,46.0,53.8,57.9,61.4,0
212,Engineering,Apeldoorn,No,22.9,7.04,9.85,Yes,Yes,60.0,59.2,61.0,66.7,0
213,Engineering,Apeldoorn,Yes,10.4,8.77,8.96,No,No,46.5,52.9,50.3,56.4,0
214,Engineering,Apeldoorn,No,1.4,6.34,8.96,No,Yes,59.5,66.3,65.4,57.1,0
215,Engineering,Hengelo,No,5.9,8.28,7.31,Yes,Yes,22.9,50.1,49.4,52.7,1
216,Engineering,Almelo,No,0.3,7.74,10.00,Yes,No,45.5,49.5,52.6,57.3,1
217,Engineering,Enschede,No,20.2,5.35,10.00,Yes,Yes,64.1,70.4,70.4,68.5,0
218,Engineering,Enschede,No,3.2,8.57,8.56,Yes,No,43.2,50.2,50.9,60.7,1
219,Engineering,Enschede,No,0.5,7.08,8.24,No,Yes,49.1,49.3,53.4,56.8,0
220,Engineering,Deventer,Yes,2.4,9.09,7.69,Yes,Yes,37.9,52.5,54.0,52.3,0
221,Engineering,Deventer,No,0.4,6.02,9.45,Yes,Yes,56.7,47.7,53.8,72.6,0
222,Engineering,Almelo,No,13.1,7.45,8.56,Yes,No,50.2,59.8,59.5,60.0,0
223,Engineering,Zwolle,Yes,14.9,6.38,7.08,No,Yes,31.1,51.3,50.9,56.5,0
224,Engineering,Enschede,No,1.1,6.41,10.00,No,Yes,34.1,42.9,43.5,54.9,0
225,Engineering,Apeldoorn,No,3.6,10.00,9.56,No,Yes,13.8,44.3,42.4,57.3,0
226,Engineering,Hengelo,No,0.4,7.24,10.00,No,No,58.1,51.9,50.5,61.6,0
227,Engineering,Deventer,No,2.7,7.20,7.72,Yes,No,40.2,59.4,61.5,52.4,0
228,Engineering,Zwolle,No,12.6,4.65,9.75,No,No,70.6,54.9,53.5,61.3,0
229,Engineering,Apeldoorn,Yes,5.9,8.60,9.38,No,Yes,15.7,51.9,49.4,57.5,1
230,Engineering,Apeldoorn,Yes,6.2,6.21,8.95,No,Yes,58.2,56.1,59.6,76.0,0
231,Engineering,Deventer,No,22.3,7.69,9.45,No,No,25.3,48.3,52.2,65.4,0
232,Engineering,Apeldoorn,No,5.1,6.29,7.28,No,No,41.7,56.9,61.1,54.1,0
233,Engineering,Deventer,No,5.4,6.49,10.00,No,Yes,55.8,49.4,52.2,64.7,0
234,Engineering,Almelo,No,2.2,8.96,9.60,No,No,57.2,49.6,50.2,67.6,0
235,Engineering,Hengelo,No,8.0,6.31,10.00,Yes,No,59.7,64.6,62.9,59.7,0
236,Engineering,Almelo,No,6.8,7.89,8.65,Yes,Yes,53.0,61.0,65.5,68.3,0
237,Engineering,Almelo,Yes,6.6,9.27,8.93,No,No,40.7,57.5,56.5,45.1,1
238,Engineering,Almelo,Yes,3.7,4.81,8.39,Yes,No,43.1,48.7,60.4,65.1,0
239,Engineering,Hengelo,No,4.8,5.15,10.00,Yes,No,62.8,54.7,56.1,67.4,0
240,Engineering,Deventer,No,19.8,8.24,8.20,Yes,Yes,21.4,58.1,57.9,63.4,0
241,Engineering,Hengelo,Yes,12.3,8.02,6.99,No,No,9.4,51.1,49.9,49.6,1
242,Engineering,Apeldoorn,No,0.2,6.44,7.87,No,No,50.3,63.5,64.3,68.4,0
243,Engineering,Zwolle,No,13.0,7.83,8.80,No,Yes,57.6,63.1,55.9,51.6,0
244,Engineering,Enschede,No,0.5,6.33,10.00,No,No,24.1,53.4,56.2,63.2,1
245,Engineering,Enschede,Yes,13.2,6.04,7.31,Yes,Yes,61.6,55.9,60.5,56.8,0
246,Engineering,Zwolle,No,2.5,7.39,8.33,Yes,No,53.2,54.7,55.9,61.2,1
247,Engineering,Deventer,Yes,7.1,6.45,8.22,Yes,No,25.2,54.2,54.0,61.4,0
248,Engineering,Enschede,No,1.2,8.66,6.96,No,Yes,41.0,54.7,59.1,55.3,0
249,Engineering,Apeldoorn,Yes,3.4,5.41,9.02,No,No,20.5,41.5,32.7,52.4,0
250,Engineering,Zwolle,No,2.2,7.77,7.99,Yes,Yes,8.9,46.2,52.5,59.8,1
251,Engineering,Hengelo,No,8.9,7.47,9.39,No,Yes,54.5,60.8,62.0,57.6,0
252,Engineering,Almelo,No,2.2,7.18,6.28,No,Yes,42.2,57.3,53.4,61.3,1
253,Engineering,Almelo,Yes,2.9,6.16,9.97,No,No,32.0,50.0,48.1,57.5,0
254,Engineering,Apeldoorn,No,0.8,7.13,9.22,Yes,No,5.7,46.9,44.9,60.5,1
255,Engineering,Hengelo,No,4.2,8.02,8.61,No,No,43.9,65.3,63.1,74.1,1
256,Engineering,Enschede,Yes,3.2,7.43,9.38,Yes,No,44.4,60.7,64.7,62.7,0
257,Engineering,Hengelo,Yes,4.1,9.30,9.29,No,Yes,11.2,45.4,48.1,56.4,1
258,Engineering,Apeldoorn,No,6.6,8.17,10.00,Yes,No,51.2,60.5,67.4,75.4,0
259,Engineering,Hengelo,No,3.0,8.68,7.62,No,Yes,14.5,47.8,50.2,53.6,1
260,Engineering,Almelo,No,1.5,6.81,8.64,Yes,No,52.5,71.2,77.8,67.6,0
261,Support,Apeldoorn,Yes,0.6,7.62,2.71,No,Yes,38.8,57.5,59.8,43.2,1
262,Support,Deventer,No,2.9,8.01,5.94,Yes,Yes,37.2,57.0,60.4,58.7,0
263,Support,Apeldoorn,No,0.7,7.88,5.43,Yes,Yes,48.3,60.8,65.4,59.1,0
264,Support,Deventer,No,19.0,6.03,6.80,No,No,54.6,53.9,63.6,61.1,0
265,Support,Apeldoorn,Yes,2.6,6.16,4.75,No,No,52.0,59.3,57.7,54.1,0
266,Support,Almelo,No,5.0,5.35,4.26,No,Yes,57.7,48.6,52.0,63.4,0
267,Support,Zwolle,Yes,0.4,6.40,1.97,No,No,41.9,70.0,69.5,71.0,0
268,Support,Apeldoorn,No,11.5,6.37,6.05,No,Yes,50.4,72.2,79.7,75.8,0
269,Support,Zwolle,No,1.8,7.29,5.77,No,Yes,41.1,54.3,59.7,67.3,0
270,Support,Zwolle,Yes,7.6,6.64,5.01,No,No,47.4,49.7,54.2,62.6,0
271,Support,Almelo,Yes,12.9,6.83,7.57,No,Yes,49.2,47.3,45.7,71.6,0
