id,programme,stress,sleep_hours,exam_score
251,Psychology,40.00,7.43,69.9
252,Psychology,16.60,8.04,79.9
253,Psychology,6.17,7.98,79.6
254,Psychology,3.16,7.72,66.2
255,Business,37.28,6.57,67.6
256,Psychology,2.15,5.84,80.1
257,Business,12.27,8.39,75.2
258,Psychology,5.49,8.57,79.7
259,Business,9.88,7.16,77.9
260,Psychology,40.00,5.36,66.3
261,Psychology,8.91,6.61,62.8
262,Psychology,0.11,7.40,69.5
263,Psychology,20.30,6.01,79.4
264,Business,5.57,7.19,64.8
265,Business,17.54,6.37,50.6
266,Business,3.81,6.65,65.8
267,Business,34.48,5.81,60.3
268,Psychology,3.22,8.31,83.8
269,Business,14.82,7.24,68.9
270,Business,22.66,8.35,80.4
271,Business,16.30,5.47,67.3
272,Business,7.90,6.22,91.0
273,Business,5.53,7.55,76.3
274,Psychology,1.41,5.56,45.3
275,Business,10.60,6.15,72.7
276,Business,7.13,6.83,64.3
277,Business,9.05,6.86,69.6
278,Psychology,4.66,6.83,75.9
279,Business,8.73,7.92,77.2
280,Psychology,5.51,6.51,96.5
281,Business,9.58,6.62,83.0
282,Business,1.52,6.15,67.0
283,Psychology,14.26,7.32,60.9
284,Psychology,2.42,6.35,57.4
285,Business,1.96,7.61,92.0
286,Business,1.52,5.94,68.1
287,Psychology,6.80,8.17,72.1
288,Psychology,11.68,6.44,82.9
289,Psychology,1.22,4.88,100.0
290,Business,13.83,7.46,87.8
291,Psychology,14.73,7.69,59.0
292,Business,9.81,5.98,68.7
293,Psychology,5.91,7.38,73.1
294,Psychology,1.89,5.14,71.8
295,Psychology,40.00,6.54,62.2
296,Business,12.07,8.47,75.1
297,Business,26.99,6.31,68.9
298,Business,17.14,5.78,76.6
299,Business,34.62,4.60,56.0
300,Psychology,35.25,5.79,62.6
301,Business,6.09,11.00,72.2
302,Business,8.58,5.50,38.4
303,Psychology,1.96,6.43,56.4
304,Business,6.17,8.68,78.4
305,Business,13.67,6.86,49.2
306,Business,34.41,6.39,53.9
307,Business,0.05,9.23,63.5
308,Business,8.75,7.43,58.3
309,Psychology,15.57,7.11,63.5
310,Business,2.93,4.99,86.1
311,Psychology,23.52,3.19,68.8
312,Psychology,29.66,7.08,59.8
313,Psychology,3.63,7.05,67.1
314,Business,6.20,6.64,78.0
315,Psychology,6.20,6.57,82.2
316,Psychology,20.58,6.45,79.5
317,Psychology,5.18,8.51,88.2
318,Business,19.40,6.05,60.4
319,Psychology,9.11,7.73,65.3
320,Business,4.19,8.00,93.6
321,Psychology,29.43,4.67,39.2
322,Psychology,21.73,6.04,82.0
323,Business,21.93,5.88,90.3
324,Business,35.80,7.40,68.9
325,Business,1.34,9.21,90.6
326,Business,4.66,8.19,92.4
327,Business,6.95,4.77,91.4
328,Psychology,12.63,8.11,76.0
329,Psychology,25.56,7.15,66.0
330,Business,7.55,7.00,87.5
331,Psychology,28.93,6.63,56.6
332,Psychology,1.81,8.61,84.3
333,Psychology,3.10,7.12,88.2
334,Business,13.24,6.73,72.7
335,Business,32.72,7.62,64.1
336,Business,5.85,5.70,68.1
337,Business,0.88,7.68,93.0
338,Psychology,33.59,4.64,57.1
339,Business,1.98,8.22,94.1
340,Business,14.07,8.32,55.8
341,Psychology,11.71,3.81,61.6
342,Psychology,28.02,7.70,74.5
343,Psychology,6.09,7.17,81.5
344,Psychology,21.47,6.45,74.5
345,Psychology,1.19,7.17,82.5
346,Business,40.00,4.98,75.1
347,Business,20.46,8.06,95.6
348,Psychology,13.57,7.00,75.3
349,Business,33.66,5.96,68.0
350,Psychology,11.21,8.43,64.3
351,Business,7.63,7.56,73.1
352,Business,9.07,8.14,77.7
353,Psychology,0.84,6.51,77.0
354,Business,7.90,7.31,77.5
355,Psychology,4.79,6.58,60.3
356,Psychology,17.85,7.56,80.0
357,Psychology,23.22,6.97,67.1
358,Psychology,14.51,4.93,78.0
359,Business,15.08,7.38,67.0
360,Business,11.16,6.43,56.3
361,Psychology,0.36,8.12,90.6
362,Business,21.78,5.37,75.8
363,Psychology,0.24,6.57,88.6
364,Business,11.89,7.26,83.1
365,Psychology,21.14,6.30,59.7
366,Psychology,16.00,8.77,81.3
367,Business,4.81,7.15,82.1
368,Psychology,31.31,7.41,60.9
369,Business,13.12,7.10,59.8
370,Psychology,2.66,7.19,90.9
371,Business,8.37,7.16,79.1
372,Psychology,0.89,7.21,72.2
373,Business,1.88,7.06,88.2
374,Psychology,5.82,7.83,61.9
375,Psychology,6.14,8.08,70.0
376,Business,2.51,7.54,88.2
377,Psychology,5.94,7.90,70.2
378,Psychology,23.08,4.85,54.0
379,Psychology,10.85,6.42,66.5
380,Business,5.63,6.28,83.9
381,Psychology,2.69,6.03,83.8
382,Psychology,2.63,6.11,78.6
383,Business,3.99,8.44,82.8
384,Psychology,22.52,7.42,64.0
385,Business,1.08,8.47,97.9
386,Business,12.22,6.55,82.8
387,Business,18.60,6.51,63.9
388,Business,37.58,7.44,72.4
389,Business,13.18,8.32,77.4
390,Psychology,4.72,7.91,85.8
391,Psychology,8.44,7.89,59.9
392,Business,14.89,7.67,55.4
393,Psychology,9.33,5.88,93.6
394,Psychology,2.85,7.49,72.3
395,Business,10.43,7.88,79.6
396,Psychology,14.00,7.54,72.2
397,Psychology,16.00,8.42,65.1
398,Psychology,40.00,7.08,47.8
399,Business,22.25,6.34,89.6
400,Business,26.42,5.86,84.6
401,Psychology,2.77,7.35,68.6
402,Business,3.76,7.60,78.8
403,Business,0.29,7.23,73.6
404,Business,3.17,6.14,65.9
405,Business,15.62,7.85,90.9
406,Psychology,5.81,7.80,72.4
407,Psychology,2.80,8.69,74.8
408,Business,4.64,7.77,73.7
409,Psychology,4.03,5.63,72.2
410,Business,9.17,5.23,54.2
411,Psychology,4.12,5.45,84.5
412,Business,20.18,5.67,64.2
413,Psychology,1.49,7.00,84.4
414,Business,0.02,6.72,79.1
415,Psychology,8.39,5.40,47.2
416,Business,14.00,7.46,67.1
417,Psychology,6.43,7.51,97.8
418,Psychology,8.04,7.82,85.1
419,Psychology,12.14,7.58,78.8
420,Business,7.39,7.26,82.5
421,Psychology,5.12,8.52,90.6
422,Psychology,31.37,5.67,52.8
423,Psychology,11.96,6.79,71.9
424,Business,18.59,8.07,68.5
425,Business,14.03,7.79,52.8
426,Psychology,3.30,6.70,75.0
427,Psychology,9.11,6.51,79.3
428,Business,31.61,8.08,74.0
429,Business,5.83,6.89,92.4
430,Business,1.89,7.26,89.6
431,Business,1.30,6.41,77.8
432,Psychology,9.58,7.00,64.4
433,Psychology,14.48,5.99,65.8
434,Psychology,1.59,7.97,43.7
435,Psychology,5.30,6.50,62.4
436,Business,15.96,4.05,58.0
437,Psychology,14.12,8.03,79.3
438,Business,6.17,7.70,75.4
439,Business,6.05,7.92,68.5
440,Business,13.20,7.38,74.8
441,Psychology,11.95,7.87,85.5
442,Psychology,4.69,7.32,83.9
443,Psychology,23.98,8.07,68.9
444,Psychology,10.45,7.10,55.5
445,Business,4.22,6.55,83.9
446,Psychology,0.42,7.12,74.4
447,Psychology,4.23,6.86,57.9
448,Business,1.81,8.76,100.0
449,Business,10.68,8.17,63.1
450,Business,20.29,6.25,70.5
451,Psychology,39.10,4.46,41.2
452,Business,10.75,7.48,66.3
453,Business,7.94,7.20,90.2
454,Business,6.85,7.18,85.1
455,Business,30.16,6.33,55.4
456,Psychology,2.44,6.25,84.5
457,Business,8.73,7.26,72.3
458,Psychology,3.02,6.19,77.4
459,Psychology,1.09,6.46,67.5
460,Psychology,29.92,4.33,58.0
461,Psychology,22.18,4.78,55.5
462,Business,5.83,7.48,96.8
463,Business,34.98,7.35,61.5
464,Psychology,21.04,5.63,76.0
465,Psychology,4.81,7.21,90.0
466,Psychology,5.84,8.44,83.0
467,Psychology,34.96,4.67,60.5
468,Psychology,2.89,9.68,84.0
469,Psychology,12.07,7.01,75.8
470,Psychology,8.97,8.73,87.2
471,Psychology,22.23,4.77,76.2
472,Psychology,12.58,8.64,78.4
473,Business,26.80,5.41,66.5
474,Business,33.11,6.89,55.1
475,Business,15.77,6.98,78.1
476,Business,0.62,6.94,76.4
477,Psychology,0.41,6.61,73.5
478,Psychology,16.55,5.70,55.1
479,Psychology,7.00,6.48,68.2
480,Business,36.29,5.95,59.4
481,Business,0.92,5.42,51.7
482,Business,40.00,6.28,72.6
483,Business,2.19,5.44,90.6
484,Psychology,27.38,5.86,69.0
485,Psychology,14.86,7.53,66.7
486,Business,3.98,7.12,71.7
487,Business,0.95,9.26,84.4
488,Business,14.95,7.46,67.4
489,Psychology,21.15,6.88,64.5
490,Psychology,5.37,7.05,78.5
491,Psychology,3.44,7.81,92.6
492,Psychology,10.41,6.29,65.5
493,Psychology,10.78,7.87,82.1
494,Psychology,0.30,7.86,79.9
495,Business,12.44,8.04,77.5
496,Business,2.97,8.06,81.7
497,Psychology,5.99,7.71,66.3
498,Psychology,10.88,6.38,74.0
499,Psychology,8.58,6.51,60.9
500,Psychology,1.50,8.13,88.4
501,Psychology,1.00,6.44,64.1
502,Business,2.58,7.15,96.0
503,Psychology,27.12,5.83,61.6
504,Business,10.10,5.64,78.5
505,Business,12.41,6.24,54.7
506,Business,2.38,7.18,87.5
507,Psychology,5.57,8.20,75.8
508,Business,9.17,7.89,81.1
509,Psychology,7.22,5.92,93.0
510,Psychology,15.14,6.25,73.9
511,Psychology,30.61,6.46,78.8
512,Psychology,36.75,7.20,81.6
513,Business,0.03,7.19,68.1
514,Psychology,30.31,4.62,74.5
515,Psychology,1.27,7.96,64.0
516,Business,22.20,5.55,59.8
517,Psychology,12.19,6.43,83.0
518,Business,1.79,8.56,86.7
519,Business,6.24,6.03,56.8
520,Business,40.00,5.04,50.2
521,Business,13.82,6.34,96.4
522,Business,18.71,7.66,65.0
523,Business,7.98,7.99,96.6
524,Business,21.04,5.49,71.1
525,Psychology,40.00,5.66,51.4
526,Business,16.25,7.62,54.6
527,Psychology,40.00,5.96,59.3
528,Business,14.12,5.72,55.8
529,Business,3.17,7.97,98.3
530,Psychology,2.59,6.22,67.4
531,Business,15.86,6.99,66.2
532,Business,4.53,7.14,73.0
533,Psychology,7.21,7.55,90.0
534,Psychology,40.00,6.26,63.6
535,Business,2.87,5.45,56.3
536,Business,40.00,6.78,59.3
537,Psychology,18.19,5.03,81.3
538,Business,24.26,6.86,73.5
539,Psychology,28.65,6.65,78.8
540,Psychology,17.72,7.10,81.6
541,Business,0.70,7.99,96.2
542,Psychology,5.19,6.29,86.4
543,Psychology,14.30,6.47,84.8
544,Psychology,2.62,5.41,73.5
545,Psychology,5.46,9.01,95.4
546,Psychology,7.47,5.51,72.1
547,Business,12.71,6.94,54.6
548,Business,9.26,6.52,82.1
549,Business,3.58,6.83,76.2
550,Business,13.43,5.22,70.3
551,Psychology,21.08,7.02,54.2
552,Business,0.66,8.41,69.4
553,Psychology,0.57,5.86,78.9
554,Psychology,6.42,8.88,75.9
555,Business,10.96,6.30,71.3
556,Business,29.63,5.95,65.5
557,Business,3.57,6.10,65.9
558,Psychology,4.08,8.12,73.7
559,Business,10.75,6.08,68.8
560,Business,3.40,6.33,67.9
561,Business,15.27,5.37,64.9
562,Business,18.31,7.52,68.8
563,Business,15.35,6.55,69.4
564,Business,13.07,6.52,83.1
565,Business,5.31,8.13,71.6
566,Psychology,40.00,4.73,70.4
567,Psychology,6.96,6.97,98.3
568,Psychology,1.77,7.53,84.9
569,Psychology,2.09,6.48,87.2
570,Business,1.09,6.70,60.1
571,Business,10.26,5.45,63.3
572,Business,1.07,6.68,76.8
573,Psychology,23.10,6.83,92.5
574,Business,1.60,5.95,87.5
575,Business,14.64,6.05,68.5
576,Business,11.34,6.39,67.0
577,Business,19.26,6.11,81.1
578,Business,0.44,7.06,91.0
579,Business,21.20,5.24,45.1
580,Business,3.04,7.77,78.5
581,Psychology,1.56,5.97,69.7
582,Business,34.41,8.53,61.0
583,Psychology,13.15,6.14,58.8
584,Psychology,3.24,7.10,73.6
585,Psychology,30.52,7.06,65.3
586,Business,26.79,9.33,66.8
587,Business,18.12,5.62,72.7
588,Psychology,27.94,5.72,60.0
589,Psychology,9.75,6.43,72.8
590,Business,14.33,7.89,72.7
591,Psychology,36.98,4.83,75.4
592,Business,29.64,6.59,95.0
593,Business,5.36,6.68,61.7
594,Business,13.36,8.59,71.8
595,Psychology,7.77,8.73,88.1
596,Business,4.28,8.01,72.8
597,Psychology,33.81,5.07,49.0
598,Business,0.91,7.96,68.6
599,Psychology,0.79,7.78,77.1
600,Psychology,40.00,4.72,64.3
601,Business,3.91,6.38,90.4
602,Psychology,16.40,6.30,68.6
603,Business,18.95,5.38,64.5
604,Psychology,16.72,8.32,87.3
605,Business,1.18,8.10,90.1
606,Psychology,1.41,7.44,76.6
607,Business,3.44,8.02,57.6
608,Psychology,3.16,7.48,85.1
609,Business,3.02,6.15,63.4
610,Business,19.90,6.80,74.0
611,Business,8.56,5.37,68.6
612,Psychology,1.75,5.99,84.8
613,Psychology,40.00,6.82,60.9
614,Business,7.37,6.81,80.6
615,Business,12.28,7.64,71.4
616,Psychology,17.91,4.53,58.9
617,Psychology,10.56,8.51,58.4
618,Business,2.05,5.42,68.1
619,Business,27.12,7.21,84.5
620,Psychology,20.49,4.25,64.2
621,Business,0.34,6.82,74.5
622,Business,33.21,6.57,69.7
623,Psychology,9.08,5.11,84.8
624,Psychology,2.33,7.87,91.7
625,Psychology,20.47,5.74,55.2
626,Business,1.17,6.97,100.0
627,Psychology,22.97,6.42,78.9
628,Business,34.67,6.64,66.8
629,Business,13.77,5.79,56.2
630,Psychology,14.58,7.50,64.9
631,Business,38.90,5.90,74.9
632,Business,0.93,10.82,88.2
633,Business,21.49,6.52,58.7
634,Psychology,3.94,6.92,75.3
635,Business,1.94,6.39,77.9
636,Business,7.89,8.28,66.6
637,Psychology,5.61,5.90,85.2
638,Psychology,8.07,7.26,78.6
639,Psychology,7.78,8.00,78.3
640,Psychology,2.68,8.03,97.3
641,Psychology,4.23,7.62,63.6
642,Psychology,0.92,7.07,84.4
643,Business,12.63,5.14,55.0
644,Business,12.92,4.50,81.6
645,Business,0.09,7.92,80.8
646,Business,0.82,8.23,72.9
647,Business,9.35,7.05,59.9
648,Business,25.38,6.93,63.3
649,Business,4.85,8.15,100.0
650,Psychology,4.99,5.88,73.4
651,Psychology,8.62,7.68,79.5
652,Business,7.93,8.17,64.2
653,Business,31.08,6.52,76.7
654,Business,3.90,7.23,73.9
655,Psychology,1.29,6.49,81.9
656,Psychology,27.29,6.96,76.1
657,Psychology,17.47,4.96,51.6
658,Business,3.92,8.48,93.1
659,Psychology,23.97,5.97,48.4
660,Business,31.05,6.09,57.1
661,Psychology,16.62,7.77,75.4
662,Business,1.19,10.13,92.3
663,Psychology,18.92,6.39,64.7
664,Business,5.64,6.19,63.1
665,Psychology,22.82,6.65,69.3
666,Psychology,3.25,5.85,75.2
667,Psychology,2.72,9.67,91.2
668,Psychology,0.51,8.45,73.8
669,Business,1.28,3.29,57.3
670,Business,11.29,6.77,76.7
671,Business,3.69,8.03,94.1
672,Psychology,3.60,8.37,75.8
673,Psychology,4.91,6.87,77.5
674,Psychology,13.92,8.90,100.0
675,Psychology,0.47,6.96,81.1
676,Business,19.08,7.35,73.1
677,Psychology,15.05,5.14,60.5
678,Psychology,11.16,4.88,68.7
679,Business,23.12,5.81,74.7
680,Psychology,7.64,6.74,82.3
681,Business,2.72,7.88,74.4
682,Business,9.80,7.59,72.0
683,Psychology,23.01,7.23,59.8
684,Business,7.94,6.81,88.9
685,Psychology,23.38,6.25,79.2
686,Psychology,4.15,9.23,80.7
687,Business,5.45,5.91,78.5
688,Psychology,5.01,6.53,94.0
689,Psychology,0.67,5.99,76.8
690,Business,31.41,4.69,75.5
691,Psychology,0.27,8.13,85.4
692,Psychology,3.82,6.78,85.7
693,Business,0.65,6.59,81.1
694,Psychology,1.01,8.75,80.2
695,Psychology,8.71,6.53,45.2
696,Psychology,40.00,5.29,46.1
697,Business,17.51,7.51,84.4
698,Psychology,30.94,6.99,37.5
699,Psychology,19.70,6.24,87.8
700,Psychology,31.02,6.92,69.5
701,Psychology,8.66,7.24,87.8
702,Business,16.83,7.63,64.1
703,Business,11.18,6.24,69.7
704,Business,9.33,6.80,73.2
705,Psychology,6.79,6.42,87.6
706,Psychology,23.03,6.14,57.5
707,Business,13.81,6.68,48.6
708,Psychology,9.01,7.44,69.8
709,Psychology,2.81,6.22,67.1
710,Business,18.71,5.54,67.4
711,Psychology,0.10,7.99,100.0
712,Business,2.27,7.68,96.8
713,Psychology,11.98,6.59,76.5
714,Psychology,27.65,5.04,58.7
715,Psychology,24.38,7.88,83.7
716,Psychology,12.78,7.60,69.5
717,Psychology,5.36,8.22,77.5
718,Business,12.25,5.44,57.3
719,Business,9.65,6.46,71.3
720,Business,11.56,6.37,79.8
721,Psychology,40.00,6.35,53.2
722,Psychology,6.17,8.20,74.6
723,Psychology,2.34,6.48,86.6
724,Psychology,12.78,6.27,77.3
725,Psychology,1.61,6.91,73.6
726,Business,2.24,7.16,81.8
727,Psychology,23.34,7.72,75.4
728,Business,3.67,5.73,63.8
729,Business,27.55,6.52,58.3
730,Psychology,3.65,7.74,76.2
731,Business,9.08,6.00,96.7
732,Psychology,1.91,5.19,67.3
733,Psychology,19.56,6.87,75.4
734,Business,15.56,6.02,66.7
735,Business,10.27,5.68,80.8
736,Business,9.57,5.70,71.1
737,Business,7.77,5.66,75.3
738,Psychology,24.94,7.79,60.2
739,Psychology,3.50,7.36,88.3
740,Business,0.59,6.42,72.2
741,Business,2.15,7.80,58.3
742,Business,13.38,8.04,87.5
743,Business,9.33,6.98,81.2
744,Business,5.07,4.91,70.3
745,Psychology,22.92,6.53,71.2
746,Psychology,24.89,7.96,42.4
747,Business,4.86,8.69,83.3
748,Psychology,10.95,7.15,87.7
749,Business,4.34,8.78,61.5
750,Psychology,5.48,6.65,79.0
751,Psychology,6.08,6.93,57.2
752,Business,17.67,8.42,61.9
753,Psychology,5.11,8.50,85.2
754,Business,32.00,7.40,55.8
755,Business,1.63,6.36,81.1
756,Business,34.99,6.96,67.4
757,Business,8.05,6.05,60.1
758,Business,6.78,5.60,86.7
759,Psychology,4.58,6.61,61.6
760,Business,9.14,4.86,69.2
761,Psychology,18.72,7.32,72.7
762,Business,6.52,7.55,94.9
763,Psychology,19.41,7.49,60.7
764,Business,29.53,6.64,45.9
765,Psychology,1.53,6.72,73.3
766,Psychology,16.50,6.61,69.2
767,Business,3.82,8.86,77.5
768,Business,3.51,6.37,81.1
769,Psychology,4.55,8.28,86.5
770,Psychology,1.18,8.34,79.0
771,Business,40.00,5.40,35.9
772,Psychology,16.33,8.02,71.3
773,Business,1.36,6.44,66.9
774,Psychology,1.46,5.70,90.5
775,Business,3.23,5.68,86.6
776,Business,5.79,7.54,90.7
777,Psychology,5.65,6.16,58.4
